target_llm,metric,shaponly_claude_judge,fusion_claude_judge,delta_claude_judge,shaponly_gemini_judge,fusion_gemini_judge,delta_gemini_judge,judge_agreement_delta_diff
anthropic,geval_completeness,4.3,4.966666666666667,0.666666666666667,3.5,4.4,0.9000000000000004,0.2333333333333334
anthropic,geval_factual_accuracy,4.866666666666666,4.9,0.0333333333333341,4.833333333333333,4.966666666666667,0.13333333333333375,0.09999999999999964
anthropic,geval_sensitive_leak,5.0,5.0,0.0,5.0,5.0,0.0,0.0
anthropic,geval_style,5.0,4.966666666666667,-0.033333333333333215,5.0,5.0,0.0,0.033333333333333215
gemini,geval_completeness,3.9,4.7,0.8000000000000003,3.2666666666666666,4.366666666666666,1.0999999999999996,0.2999999999999994
gemini,geval_factual_accuracy,4.9,4.766666666666667,-0.13333333333333375,4.466666666666667,4.933333333333334,0.4666666666666668,0.6000000000000005
gemini,geval_sensitive_leak,5.0,5.0,0.0,5.0,5.0,0.0,0.0
gemini,geval_style,4.933333333333334,4.933333333333334,0.0,5.0,5.0,0.0,0.0
