model,split,time_sec,auroc,auprc,ks,threshold,f1,precision,recall,accuracy
Logistic,fold0_val,151.14,0.74519869798294,0.2254625644543192,0.3686404767041633,0.5344856634522402,0.2724468257834064,0.1735263702171665,0.6336858006042296,0.7267793992114142
Logistic,fold0_test,151.14,0.754624021552117,0.2349514223249325,0.3805180784220307,0.5344856634522402,0.2756018217306441,0.1756218905472636,0.6398791540785499,0.7284522706209453
Logistic,fold1_val,114.08,0.7462686239003559,0.2254152991755232,0.367265185282162,0.5031698487875741,0.2592486103124401,0.1600970643939394,0.6810171198388721,0.6858257794398601
Logistic,fold1_test,114.08,0.7544060715503411,0.2344970141586626,0.3813841002479523,0.5031698487875741,0.2643598080198173,0.1636241675051506,0.6878147029204431,0.6909744240118368
Logistic,fold2_val,109.24,0.749367092976059,0.2235749854285413,0.3734133517866275,0.4784280104013492,0.2543656450463293,0.1545247889153496,0.7187814702920443,0.6598105768058209
Logistic,fold2_test,109.24,0.7543561020389749,0.2342137545921037,0.3800402563246771,0.4784280104013492,0.2558629305729074,0.1554880694143167,0.721852970795569,0.661040924832935
Logistic,fold3_val,154.18,0.7450468185877498,0.221481724733104,0.3738848151435782,0.5090005854642218,0.2645158107641458,0.1644886189336769,0.6749748237663645,0.6969777037052093
Logistic,fold3_test,154.18,0.7543040699092949,0.23340405456385,0.3788574569369648,0.5090005854642218,0.2659907323062299,0.1655492013409583,0.6763343403826787,0.6986651057671983
Logistic,fold4_val,144.32,0.7470957183603448,0.2243646991922628,0.3667278157075428,0.4749955398619858,0.2501197057415226,0.1512025682858797,0.723313192346425,0.6498648401455255
Logistic,fold4_test,144.32,0.7544648223296564,0.2344868979399645,0.3812897007269072,0.4749955398619858,0.2537681363572334,0.1537706457257479,0.7256797583081571,0.6554639611075882
XGBoost,fold0_val,21.23,0.754494316728263,0.2361333213774635,0.3830245056095743,0.5008756518363953,0.2760967827705397,0.1750151688801995,0.6535750251762337,0.7233242551115808
XGBoost,fold0_test,21.23,0.7591728376893588,0.24589848226038,0.3829429694586075,0.5008756518363953,0.2760517382149456,0.1754615972905058,0.6469284994964754,0.726078402679544
XGBoost,fold1_val,18.85,0.7543697241513054,0.2346023724608411,0.3827372416110207,0.4922838807106018,0.2714183600530991,0.1702318432176252,0.6691842900302115,0.7099711393845779
XGBoost,fold1_test,18.85,0.7595113956455669,0.2440695401296471,0.3846340599841467,0.4922838807106018,0.2723245704823018,0.1713913496612819,0.6624370594159114,0.714209062972538
XGBoost,fold2_val,19.75,0.7598201282512854,0.247692480955648,0.3899052598790695,0.4583081901073456,0.2665269575157172,0.1643562030075188,0.7044310171198389,0.687004593309215
XGBoost,fold2_test,19.75,0.759108029081992,0.2431202335778606,0.3869715195159494,0.4583081901073456,0.2648450618226225,0.1633786901454871,0.6988922457200403,0.6867795066907305
XGBoost,fold3_val,17.11,0.7529787042985037,0.2349570905751568,0.3860430395198012,0.4845410883426666,0.2724492916114565,0.1707987220447284,0.6729607250755287,0.7098432958679701
XGBoost,fold3_test,17.11,0.7576833333707385,0.2452548160262224,0.384676434500273,0.4845410883426666,0.2702614379084967,0.1695106328465283,0.6662638469284995,0.7095426239370437
XGBoost,fold4_val,18.62,0.755564432466163,0.2394928992880901,0.3808235173909777,0.4677212238311767,0.2648878576952823,0.1639148121560182,0.6898288016112789,0.6909005914513933
XGBoost,fold4_test,18.62,0.757947747501462,0.2443163268909136,0.3836530552026127,0.4677212238311767,0.2655466106638665,0.164545980335454,0.6876132930513595,0.6929418077166968
LightGBM,fold0_val,13.1,0.750030503152846,0.231851478145326,0.3796530611472436,0.4036139652223363,0.2594107643517029,0.1586730390778746,0.7104733131923464,0.6725133124669729
LightGBM,fold0_test,13.1,0.7542630170363366,0.2386780377581883,0.37674632968827,0.4036139652223363,0.2583784979537661,0.1581370159761711,0.7057401812688822,0.6729427832788645
LightGBM,fold1_val,12.59,0.7517121286101983,0.2340482848131466,0.3796721089189659,0.4213118475943872,0.2642802006947125,0.1634638338505609,0.6895770392749244,0.6900532498678915
LightGBM,fold1_test,12.59,0.7549498618099166,0.2391313266501201,0.3827654774122454,0.4213118475943872,0.2660075512825503,0.1648653864710991,0.6882175226586102,0.693397070061623
LightGBM,fold2_val,12.44,0.754197723663255,0.2428303699846744,0.3762184729320142,0.3824986516726353,0.2537123833720268,0.1535769210372805,0.729103726082578,0.6537335880655258
LightGBM,fold2_test,12.44,0.7554744045276147,0.2395979551375518,0.3801572484628951,0.3824986516726353,0.2534769423820976,0.1532625189681335,0.7323262839879154,0.6517730842397932
LightGBM,fold3_val,12.19,0.7482739732194654,0.2270474123659527,0.3688629333232872,0.4131864737217838,0.2591640483671332,0.1597980509569097,0.6852970795568983,0.6837056157395175
LightGBM,fold3_test,12.19,0.753377644359503,0.24025655734766,0.3783261350091626,0.4131864737217838,0.260492040520984,0.1606161649368337,0.6888217522658611,0.6842755637936361
LightGBM,fold4_val,12.29,0.7513347483992003,0.2314534105835873,0.3722095816885481,0.3876171093731383,0.2526001667617501,0.152963061387191,0.7245720040281974,0.6538484990142477
LightGBM,fold4_test,12.29,0.7537593498684074,0.2431296996225092,0.3757579721533703,0.3876171093731383,0.253648538817626,0.1538098911459672,0.7228600201409869,0.6565858576004423
TabNet,fold0_val,387.9,0.7414878308005698,0.22289452826912048,0.3624006114880218,0.5516993999481201,0.27043478260869563,0.1724424729692265,0.6263846928499497,0.7271655623755132
TabNet,fold0_test,387.9,0.752144415913339,0.2329251009186955,0.3788727822979042,0.5516993999481201,0.2734960767218832,0.1745201668984701,0.6318227593152065,0.7290213485521031
TabNet,fold1_val,318.34,0.744898804120553,0.22365457244953313,0.36148537217965515,0.5290669798851013,0.25682382133995035,0.1584432406971267,0.6774924471299094,0.6834681517011504
TabNet,fold1_test,318.34,0.7491699813726685,0.2299674913151837,0.36553812589645074,0.5290669798851013,0.2587275316577499,0.1599257708412638,0.6769385699899295,0.6868608035380388
TabNet,fold2_val,325.75,0.7457600116579933,0.22675944155894817,0.36857186687533494,0.5398061275482178,0.25774938944204395,0.15842956120092377,0.6908358509566969,0.6787935449778464
TabNet,fold2_test,325.75,0.7513376756614281,0.23245131578431377,0.3766570065594469,0.5398061275482178,0.259851384823238,0.1596789815967898,0.6972809667673716,0.6793327154772938
TabNet,fold3_val,298.6,0.7441617956841627,0.223193520224089,0.36785298945411443,0.5487841367721558,0.27334901789133886,0.17462425725270883,0.6289023162134945,0.7300664620637792
TabNet,fold3_test,298.6,0.7535593524831947,0.23393977958018652,0.3792776112186772,0.5487841367721558,0.2751285851277134,0.17555765700617457,0.6356495468277945,0.7296066858527226
TabNet,fold4_val,567.95,0.7441480327803479,0.22557284310109865,0.36380557688782456,0.49968668818473816,0.2574927335969886,0.15880105789009696,0.6802618328298087,0.6832787951464401
TabNet,fold4_test,567.95,0.752636592622944,0.23641840930496838,0.3739876257863198,0.49968668818473816,0.2612984629502179,0.16126291943933174,0.6882175226586102,0.685868982000878
