model,split,time_sec,auroc,auprc,ks,threshold,f1,precision,recall,accuracy
TabNet-fixed,val,649.11,0.744552109206136,0.22440804706658238,0.3612332580963075,0.4715394973754883,0.25333137009497164,0.15499301833250753,0.6930513595166163,0.6701895873304933
TabNet-fixed,test,649.11,0.7499638881488043,0.22749482925276632,0.3684612728449673,0.4715394973754883,0.2537296938888275,0.15526102245063564,0.693655589123867,0.6706014340763865
TabNet-tuned,val,385.76,0.7481615360087961,0.22507370905329774,0.36977742618835235,0.5500007271766663,0.26900096101617016,0.16970687473639814,0.6483383685800604,0.7155377060908589
TabNet-tuned,test,385.76,0.7543164402756043,0.23331328942425628,0.37877950492671886,0.5500007271766663,0.27061469265367316,0.17057804378642305,0.654380664652568,0.7152334032486221
