model,split,time_sec,auroc,auprc,ks,threshold,f1,precision,recall,accuracy
Logistic,val,87.96,0.747453983071019,0.226693352409509,0.3658091597939561,0.5129242637308221,0.262662518943926,0.16375752150778258,0.6632426988922457,0.699391889694644
Logistic,test,87.96,0.7546873428656223,0.2345630960426554,0.3787391716546228,0.5129242637308221,0.26633468535400184,0.1663322632423756,0.6678751258811682,0.7029575793050745
XGBoost,val,21.17,0.7564591277916353,0.24360700392524773,0.3826351576375022,0.47579801082611084,0.2683023662061299,0.16708698017109233,0.6805639476334341,0.7003349484569608
XGBoost,test,21.17,0.760497309387439,0.2458811511598461,0.3891528612844299,0.47579801082611084,0.2704586420989385,0.1688,0.6799597180261833,0.703868103994927
LightGBM,val,16.83,0.7511362386877054,0.23579651665153492,0.3730719240780588,0.4109444113744873,0.25945579767415605,0.15953901693973896,0.6942598187311179,0.6800591850671522
LightGBM,test,16.83,0.7548511446836974,0.24142198046607857,0.3785092057433981,0.4109444113744873,0.26225387515710097,0.1617039263573173,0.6934541792547835,0.6850397541583337
