,mean_abs_shap
NAME_FAMILY_STATUS_Civil marriage,0.00083862216
REG_REGION_NOT_LIVE_REGION,0.00079736486
LIVE_CITY_NOT_WORK_CITY,0.0007943665
FLAG_DOCUMENT_8,0.0006594817
EMERGENCYSTATE_MODE_No,0.0006233118
YEARS_BUILD_AVG_MISSING_FLAG,0.0005429086
WALLSMATERIAL_MODE_Block,0.000540878
LIVINGAREA_AVG_MISSING_FLAG,0.00054037425
EMPLOYED_FLAG,0.00049327937
ELEVATORS_MEDI_MISSING_FLAG,0.00045672894
WALLSMATERIAL_MODE_Monolithic,0.0004407094
FONDKAPREMONT_MODE_org spec account,0.0004385518
ENTRANCES_AVG_MISSING_FLAG,0.00043649817
REG_REGION_NOT_WORK_REGION,0.00042814427
BASEMENTAREA_MEDI_MISSING_FLAG,0.00042811217
WALLSMATERIAL_MODE_MISSING_FLAG,0.00041914496
NAME_HOUSING_TYPE_With parents,0.00034593185
ENTRANCES_MEDI_MISSING_FLAG,0.0003140354
NONLIVINGAPARTMENTS_MEDI_MISSING_FLAG,0.00026684633
NAME_TYPE_SUITE_Children,0.0002601083
WALLSMATERIAL_MODE_Others,0.00025213396
FLAG_OWN_REALTY_Y,0.00024665764
FLOORSMIN_AVG_MISSING_FLAG,0.00024108563
NONLIVINGAREA_MEDI_MISSING_FLAG,0.00021876903
FLAG_DOCUMENT_5,0.00020565208
FONDKAPREMONT_MODE_MISSING_FLAG,0.00020075316
HOUSETYPE_MODE_block of flats,0.00018875195
HOUSETYPE_MODE_terraced house,0.00015702791
NAME_TYPE_SUITE_Other_A,0.00013119097
EMERGENCYSTATE_MODE_Yes,0.00012194743
HOUSETYPE_MODE_specific housing,0.00012088914
NAME_HOUSING_TYPE_Co-op apartment,0.0001205807
WALLSMATERIAL_MODE_Wooden,0.00011724572
NAME_TYPE_SUITE_Other_B,0.00010363554
EXT_SOURCE_2_MISSING_FLAG,0.00010305133
WALLSMATERIAL_MODE_Mixed,9.32715e-05
FLOORSMIN_MEDI_MISSING_FLAG,7.401739e-05
YEARS_BUILD_MEDI_MISSING_FLAG,5.568661e-05
NAME_INCOME_TYPE_Unemployed,3.0815572e-05
NONLIVINGAPARTMENTS_AVG_MISSING_FLAG,2.3668636e-05
LIVINGAPARTMENTS_MEDI_MISSING_FLAG,1.9861942e-05
LIVINGAPARTMENTS_AVG_MISSING_FLAG,1.5943686e-05
NAME_TYPE_SUITE_Group of people,9.916892e-06
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_4,0.0
FLAG_MOBIL,0.0
FLAG_CONT_MOBILE,0.0
COMMONAREA_MEDI_MISSING_FLAG,0.0
ELEVATORS_MODE_MISSING_FLAG,0.0
YEARS_BUILD_MODE_MISSING_FLAG,0.0
NONLIVINGAREA_MODE_MISSING_FLAG,0.0
LIVINGAREA_MODE_MISSING_FLAG,0.0
NONLIVINGAPARTMENTS_MODE_MISSING_FLAG,0.0
LIVINGAREA_MEDI_MISSING_FLAG,0.0
LANDAREA_MEDI_MISSING_FLAG,0.0
LANDAREA_MODE_MISSING_FLAG,0.0
LIVINGAPARTMENTS_MODE_MISSING_FLAG,0.0
FLOORSMIN_MODE_MISSING_FLAG,0.0
ENTRANCES_MODE_MISSING_FLAG,0.0
APARTMENTS_MEDI_MISSING_FLAG,0.0
APARTMENTS_MODE_MISSING_FLAG,0.0
COMMONAREA_MODE_MISSING_FLAG,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_10,0.0
