model,metric,mean_aux,std_aux,mean_baseline,std_baseline,delta,delta_pct
XGBoost,auroc,0.7755060088987552,0.001140387962444874,0.7586846686578237,0.0008134411030032,0.016821340240931515,2.217171499022099
XGBoost,auprc,0.26461353566326096,0.0014561228317285717,0.2445318797770047,0.0010774048862636,0.020081655886256267,8.212285410216975
XGBoost,ks,0.4146285614498348,0.0040224601280522835,0.3845756077323178,0.001522381923227,0.030052953717516984,7.814576149206845
XGBoost,f1,0.28132692500836637,0.009619036991935281,0.2698058838184466,0.0046987544057305,0.011521041189919756,4.270122291948351
XGBoost,precision,0.17637339145987693,0.0091997070353913,0.1688576500558514,0.0049766363331759,0.007515741404025528,4.450933316636598
XGBoost,recall,0.6985297079556899,0.028544617845507332,0.6724269889224572,0.0207303498779439,0.02610271903323269,3.881866650691916
XGBoost,accuracy,0.711071004666439,0.02571532497157307,0.7059102807993106,0.0159920656459137,0.005160723867128403,0.7310736233059043
XGBoost,time_sec,138.12,11.53690166379171,19.112,1.5175374789440952,119.00800000000001,622.687316868983
