model,protected_attr,threshold,groups,n_per_group,selection_rate,tpr,fpr,demographic_parity_diff,equal_opportunity_diff,fpr_diff,equalized_odds_diff,disparate_impact_ratio,passes_4_5_rule
Logistic,GENDER,0.5129242637308221,"[""F"", ""M""]","{""F"": 40345, ""M"": 21158}","{""F"": 0.2665014252075846, ""M"": 0.43406749220153135}","{""F"": 0.6013537584609904, ""M"": 0.7544022242817423}","{""F"": 0.24146198518834247, ""M"": 0.3976842105263158}",0.16756606699394677,0.15304846582075193,0.15622222533797334,0.15622222533797334,0.6139631048064105,False
Logistic,AGE,0.5129242637308221,"[""older"", ""younger""]","{""older"": 20778, ""younger"": 40725}","{""older"": 0.20468765039946096, ""younger"": 0.3850951503990178}","{""older"": 0.4965337954939341, ""younger"": 0.7197585935450013}","{""older"": 0.18752547900529964, ""younger"": 0.3505445088584277}",0.18040749999955685,0.22322479805106715,0.16301902985312805,0.22322479805106715,0.5315248716774882,False
XGBoost,GENDER,0.47579801082611084,"[""F"", ""M""]","{""F"": 40345, ""M"": 21158}","{""F"": 0.2688809022183666, ""M"": 0.43255506191511484}","{""F"": 0.6209476309226932, ""M"": 0.7567191844300278}","{""F"": 0.24255421173211145, ""M"": 0.39573684210526316}",0.16367415969674826,0.1357715535073346,0.15318263037315172,0.15318263037315172,0.6216108095647072,False
XGBoost,AGE,0.47579801082611084,"[""older"", ""younger""]","{""older"": 20778, ""younger"": 40725}","{""older"": 0.194965829242468, ""younger"": 0.3916267648864334}","{""older"": 0.5095320623916811, ""younger"": 0.731566517974285}","{""older"": 0.17646759070525886, ""younger"": 0.3565313973018367}",0.1966609356439654,0.22203445558260382,0.18006380659657784,0.22203445558260382,0.4978358139005273,False
LightGBM,GENDER,0.4109444113744873,"[""F"", ""M""]","{""F"": 40345, ""M"": 21158}","{""F"": 0.29336968645433137, ""M"": 0.44692314963607144}","{""F"": 0.6423227645172782, ""M"": 0.7599629286376274}","{""F"": 0.26727582716180937, ""M"": 0.4113684210526316}",0.15355346318174007,0.11764016412034917,0.14409259389082224,0.14409259389082224,0.6564208783841734,False
LightGBM,AGE,0.4109444113744873,"[""older"", ""younger""]","{""older"": 20778, ""younger"": 40725}","{""older"": 0.22100298392530562, ""younger"": 0.41006752608962554}","{""older"": 0.5320623916811091, ""younger"": 0.7423248491209656}","{""older"": 0.20271096616388096, ""younger"": 0.375765292301024}",0.18906454216431992,0.2102624574398565,0.17305432613714306,0.2102624574398565,0.5389429054106629,False
TabNet,GENDER,0.5500007271766663,"[""F"", ""M""]","{""F"": 40345, ""M"": 21158}","{""F"": 0.25591770975337713, ""M"": 0.4122317799413933}","{""F"": 0.5988599928749555, ""M"": 0.726598702502317}","{""F"": 0.23027332303266024, ""M"": 0.3765263157894737}",0.15631407018801619,0.12773870962736145,0.14625299275681347,0.14625299275681347,0.6208102388170091,False
TabNet,AGE,0.5500007271766663,"[""older"", ""younger""]","{""older"": 20778, ""younger"": 40725}","{""older"": 0.18745788815092887, ""younger"": 0.37205647636586864}","{""older"": 0.48353552859618715, ""younger"": 0.7061138808711624}","{""older"": 0.17004688136975132, ""younger"": 0.3375684022322154}",0.18459858821493977,0.2225783522749753,0.16752152086246408,0.2225783522749753,0.5038425617044996,False
