model,split,time_sec,auroc,auprc,ks,threshold,f1,precision,recall,accuracy
XGBoost,fold0_val,145.89,0.7717590901065361,0.25548660497642933,0.4118182461844897,0.446203351020813,0.2828127404216033,0.17758454106280194,0.6941087613293051,0.7158042356001788
XGBoost,fold0_test,145.89,0.777137088987232,0.26515810781839116,0.4209100442992703,0.446203351020813,0.2851407267811053,0.17897551944044435,0.7009063444108762,0.7162902622636295
XGBoost,fold1_val,153.56,0.7703217709685241,0.258791909952489,0.40296933720656575,0.4593696892261505,0.2840703249866809,0.18015948101094742,0.6711983887210473,0.7268810210967034
XGBoost,fold1_test,153.56,0.7746795879194975,0.26320762639586054,0.4136196931529301,0.4593696892261505,0.2869736391646696,0.18219855458349182,0.6753272910372609,0.7290863860299498
XGBoost,fold2_val,136.31,0.7789233288780918,0.27016362923992165,0.42261736422033613,0.4731746017932892,0.2958605904018471,0.18925381531753288,0.6774924471299094,0.7396650542660868
XGBoost,fold2_test,136.31,0.7754131426262802,0.2653755523077872,0.4156854641730146,0.4731746017932892,0.2909298847541128,0.18611064212955147,0.6660624370594159,0.7378989642781653
XGBoost,fold3_val,126.59,0.7671440415438082,0.2560068820648242,0.399557081088324,0.41949281096458435,0.2657201740325166,0.1624027319039355,0.7303625377643505,0.6741326395804963
XGBoost,fold3_test,126.59,0.7742566371690873,0.2629865275548797,0.4102193225869851,0.41949281096458435,0.2668077961895029,0.1629296126242589,0.7361530715005036,0.6733817862543291
XGBoost,fold4_val,128.25,0.774436835891881,0.26281904366851677,0.40941887381339276,0.43899187445640564,0.2744682898662304,0.16966091612135634,0.7180261832829808,0.6935428141704437
XGBoost,fold4_test,128.25,0.7760435877916791,0.26633986423938605,0.41270828303697354,0.43899187445640564,0.27678257815244117,0.1716526285216381,0.7141993957703927,0.6986976245061216
