mode,provider,metric,mean,std,n,dataset
generic_rag,anthropic,halluc_rate_strict,0.0,0.0,30,German Credit
generic_rag,anthropic,val_match_rate,0.703921568627451,0.1525219197559663,30,German Credit
generic_rag,anthropic,entailment_rate,0.4194712498057641,0.1117724074288663,30,German Credit
generic_rag,anthropic,contradiction_rate,0.126378209350402,0.0510271704168621,30,German Credit
generic_rag,anthropic,geval_factual_accuracy,5.0,0.0,30,German Credit
generic_rag,anthropic,geval_completeness,4.933333333333334,0.2537081317024624,30,German Credit
generic_rag,anthropic,geval_sensitive_leak,5.0,0.0,30,German Credit
generic_rag,anthropic,geval_style,5.0,0.0,30,German Credit
generic_rag,gemini,halluc_rate_strict,0.0,0.0,30,German Credit
generic_rag,gemini,val_match_rate,0.4470588235294118,0.1120366074457208,30,German Credit
generic_rag,gemini,entailment_rate,0.4002343773156662,0.1158121764620723,30,German Credit
generic_rag,gemini,contradiction_rate,0.1481819089493863,0.0793510836518621,30,German Credit
generic_rag,gemini,geval_factual_accuracy,5.0,0.0,30,German Credit
generic_rag,gemini,geval_completeness,4.233333333333333,0.5683207771559354,30,German Credit
generic_rag,gemini,geval_sensitive_leak,5.0,0.0,30,German Credit
generic_rag,gemini,geval_style,5.0,0.0,30,German Credit
no_shap,anthropic,halluc_rate_strict,0.0,0.0,30,German Credit
no_shap,anthropic,val_match_rate,0.3921568627450981,0.0956434801609573,30,German Credit
no_shap,anthropic,entailment_rate,0.4415883966728493,0.1438953576079583,30,German Credit
no_shap,anthropic,contradiction_rate,0.1222719129604637,0.0772213895077421,30,German Credit
no_shap,anthropic,geval_factual_accuracy,5.0,0.0,30,German Credit
no_shap,anthropic,geval_completeness,3.2666666666666666,0.5208304597621878,30,German Credit
no_shap,anthropic,geval_sensitive_leak,5.0,0.0,30,German Credit
no_shap,anthropic,geval_style,5.0,0.0,30,German Credit
no_shap,gemini,halluc_rate_strict,0.0,0.0,30,German Credit
no_shap,gemini,val_match_rate,0.2470588235294117,0.1170369576038851,30,German Credit
no_shap,gemini,entailment_rate,0.3452407500939439,0.1056767780164412,30,German Credit
no_shap,gemini,contradiction_rate,0.1874083806503607,0.0792478194988187,30,German Credit
no_shap,gemini,geval_factual_accuracy,5.0,0.0,30,German Credit
no_shap,gemini,geval_completeness,3.333333333333333,0.4794633014853842,30,German Credit
no_shap,gemini,geval_sensitive_leak,5.0,0.0,30,German Credit
no_shap,gemini,geval_style,5.0,0.0,30,German Credit
shaponly,anthropic,halluc_rate_strict,0.0,0.0,30,German Credit
shaponly,anthropic,val_match_rate,0.6133333333333334,0.3319049857116188,30,German Credit
shaponly,anthropic,entailment_rate,0.5850894713175187,0.1219217222762743,30,German Credit
shaponly,anthropic,contradiction_rate,0.1517520006338447,0.0784030304683704,30,German Credit
shaponly,anthropic,geval_factual_accuracy,3.466666666666667,1.1957780134587124,30,German Credit
shaponly,anthropic,geval_completeness,4.066666666666666,0.6396838299494921,30,German Credit
shaponly,anthropic,geval_sensitive_leak,5.0,0.0,30,German Credit
shaponly,anthropic,geval_style,4.866666666666666,0.3457459036417604,30,German Credit
shaponly,gemini,halluc_rate_strict,0.0,0.0,30,German Credit
shaponly,gemini,val_match_rate,0.6633333333333333,0.2681138889935849,30,German Credit
shaponly,gemini,entailment_rate,0.6712340863820966,0.1449957994242398,30,German Credit
shaponly,gemini,contradiction_rate,0.1200499930457463,0.0833901226769823,30,German Credit
shaponly,gemini,geval_factual_accuracy,3.633333333333333,1.159171325093724,30,German Credit
shaponly,gemini,geval_completeness,3.6,0.563241847975046,30,German Credit
shaponly,gemini,geval_sensitive_leak,5.0,0.0,29,German Credit
shaponly,gemini,geval_style,4.566666666666666,0.5683207771559355,30,German Credit
