provider,xai_rag_halluc_strict_mean,xai_rag_halluc_strict_std,baseline_halluc_strict_mean,baseline_halluc_strict_std,baseline_outside_dataset_total,baseline_n_candidates_total
gemini,0.0,0.0,0.0,0.0,0,4
anthropic,0.0,0.0,0.45454545454545453,0.4719399037242694,7,11
